           100n	 10	"C1, C3, C4, C6, C9, C12, C13, C14, C17, C18"
          100μ	  1	"C16"
            10k	  1	"R2"
            10n	  1	"C15"
            10p	  1	"C10"
           10μ	  3	"C2, C8, C11"
    14.7456 MHz	  1	"X1"
             1M	  1	"R13"
           2.2k	  4	"R1, R3, R4, R5"
            22p	  2	"C5, C7"
      32.768MHz	  1	"X2"
           4.7k	  3	"R7, R8, R9"
           4028	  1	"U5"
          470nH	  1	"L2"
            510	  2	"R14, R15"
          670nH	  1	"L1"
         74LS02	  1	"U2"
         74LS08	  1	"U1"
         Anodes	  1	"J1"
      ATMEGA8-P	  1	"U3"
        BATTERY	  1	"BT1"
       Cathodes	  1	"J2"
         DS1302	  1	"U4"
        FT232RL	  1	"U7"
           FUSE	  1	"F1"
          Glare	  1	"SW1"
            LED	  2	"D1, D2"
    Light Sense	  1	"Q1"
             LR	  3	"R10, R11, R12"
            PNP	  3	"Q2, Q3, Q4"
             SR	  1	"R6"
        ULN2803	  1	"U6"
     USB_4_MINI	  1	"J3"
